=== 2019 RACK RAID EXTRACTION AUDIT CHECKLIST ===

--- LEG 1 ---
Pos 01 | Time: 00:34:30 | Aimee Ferguson (Aberdare Valley A)
Pos 02 | Time: 00:35:04 | RACK RAID (Torfaen A)
Pos 03 | Time: 00:00:34 | RachelBrenton (Independent)
Pos 04 | Time: 00:35:11 | ABERDARE VALLEY (Aberdare Valley A)
Pos 05 | Time: 00:35:53 | BRACKLA HARRIERS (Brackla Harriers A)
Pos 06 | Time: 00:36:17 | CAERLEON RUNNING Jeremy Creasey (Spirit of Monmouth A)
Pos 07 | Time: 00:36:57 | CAERPHILLY RUNNERS (Caerphilly Runners A)
Pos 08 | Time: 00:37:02 | CALDICOT RUNNING (Caldicot A)
Pos 09 | Time: 00:37:04 | CHEPSTOW HARRIERS (Chepstow Harriers A)
Pos 10 | Time: 00:37:10 | FAIRWATER RUNNERS (Fairwater Runners B)
Pos 11 | Time: 00:37:22 | GRIFFITHSTOWN HARRIERS (Griffithstown Harriers A)
Pos 12 | Time: 00:37:39 | ISLWYN RUNNING Jan Morris (Chepstow B)
Pos 13 | Time: 00:38:04 | LES CROUPIERS (Les Croupiers A)
Pos 14 | Time: 00:38:18 | LLISWERRY RUNNERS Jen Watkins (Pont-y-pwl & District A)
Pos 15 | Time: 00:38:30 | PARC BRYN BACH RUNNING Charlotte Moran (Caerleon A)
Pos 16 | Time: 00:39:49 | OGMORE PHOENIX (Ogmore Phoenix A)
Pos 17 | Time: 00:40:30 | PEGASUS RUNNING Sara Williams (Caerphilly A)
Pos 18 | Time: 00:41:09 | PONTYPRIDD ROADENTS (Pontypridd Roadents A)
Pos 19 | Time: 00:41:29 | PONT-Y-PWL & (Pont-y-pwl & District A)
Pos 20 | Time: 00:42:03 | RHONDDA VALLEY (Rhondda Valley A)
Pos 21 | Time: 00:43:59 | SAN DOMENICO (San Domenico B)
Pos 22 | Time: 00:44:12 | SPIRIT OF (Spirit of Monmouth B)
Pos 23 | Time: 00:44:53 | TORFAEN RUNNERS (Torfaen B)
Pos 24 | Time: 00:45:08 | NOTE Vanessa Pritchard (Caerleon B)
Pos 25 | Time: 00:45:40 | RUNNERS FINISHING     Jenna Groves (Pegasus A)
Pos 26 | Time: 00:45:49 | RUNNERS FAILING TO FINISH   Liz Beech (Brackla A)
Pos 27 | Time: 00:00:09 | MINUTES.** (Independent)
Pos 28 | Time: 00:46:00 | INFRINGEMENT OF RULES RESULTS IN   Kay Morgan (Pont-y-pwl & District B)
Pos 29 | Time: 00:00:11 | MINUTES.*** (Independent)
Pos 30 | Time: 00:46:01 | Alison Davis (Fairwater B)
Pos 31 | Time: 00:46:02 | Dawne Meynell-Western (Rhondda Valley A)
Total Runners Extracted for Leg 1: 31

--- LEG 2 ---
Pos 01 | Time: 00:46:45 | Steve Caldwell (Chepstow A)
Pos 02 | Time: 00:47:41 | Tony Marshall (Chepstow B)
Pos 03 | Time: 00:47:48 | Elizabeth Dimond Lliswerry (Aberdare Valley A)
Pos 04 | Time: 00:48:14 | Craig Cheedy Torfaen A (Les Croupiers C)
Pos 05 | Time: 00:48:52 | Neema Mal (Les Croupiers A)
Pos 06 | Time: 00:49:08 | Owen Thomas (Aberdare Valley A)
Pos 07 | Time: 00:50:18 | Ross Phillips Caerphilly A (Spirit of Monmouth A)
Pos 08 | Time: 00:50:55 | Dai James (Ogmore Phoenix A)
Pos 09 | Time: 00:51:32 | Ray Morgan (Pont-y-pwl & District A)
Pos 10 | Time: 00:52:00 | Meryon Roderick (Spirit of Monmouth A)
Pos 11 | Time: 00:52:21 | Paul Harris Lliswerry B (Ogmore Phoenix B)
Pos 12 | Time: 00:52:42 | Matthew Bunce (Brackla A)
Pos 13 | Time: 00:55:01 | Luc Shide Islwyn B (Pontypridd B)
Pos 14 | Time: 00:55:07 | Jason Dixon Islwyn (Caerleon A)
Pos 15 | Time: 00:55:20 | Dave Harness (San Domenico A)
Pos 16 | Time: 00:54:40 | Paul Adams Caerleon (San Domenico A)
Pos 17 | Time: 00:55:42 | Philip Evans (Pontypridd A)
Pos 18 | Time: 00:58:33 | Emma Tracey (Caldicot A)
Pos 19 | Time: 00:58:49 | Keri-Lyn Jones Parc Bryn Bach A (Islwyn A)
Pos 20 | Time: 00:58:56 | Stuart Ward (Caerphilly B)
Pos 21 | Time: 00:59:54 | Elizabeth Walsh Fairwater Cwmbran A (Griffithstown A)
Pos 22 | Time: 01:01:06 | Rosie Bristow Pegasus (Caerphilly A)
Pos 23 | Time: 01:01:21 | Matthew Crowle Parc Bryn Bach B Parc Bryn Bach B (Independent B)
