=== 2022 RACK RAID EXTRACTION AUDIT CHECKLIST ===

--- LEG 1 ---
Pos 01 | Time: 00:32:28 | Chole Leek (Pont-y-pwl A)
Pos 02 | Time: 00:33:08 | RACK RAID Niki Morgan (Chepstow A)
Pos 03 | Time: 00:34:20 | ABERDARE VALLEY (Aberdare Valley A)
Pos 04 | Time: 00:35:24 | BRACKLA HARRIERS (Brackla Harriers A)
Pos 05 | Time: 00:36:39 | CAERLEON RUNNING Alison Hobbs (Caerphilly B)
Pos 06 | Time: 00:36:52 | CAERPHILLY RUNNERS (Caerphilly Runners A)
Pos 07 | Time: 00:36:57 | CALDICOT RUNNING Avisa Talemi (Caerleon A)
Pos 08 | Time: 00:37:12 | CHEPSTOW HARRIERS (Chepstow Harriers A)
Pos 09 | Time: 00:37:41 | FAIRWATER RUNNERS (Fairwater Runners A)
Pos 10 | Time: 00:38:09 | GRIFFITHSTOWN HARRIERS (Griffithstown Harriers B)
Pos 11 | Time: 00:39:14 | ISLWYN RUNNING Marina Wright (Monmouth A)
Pos 12 | Time: 00:40:03 | LES CROUPIERS (Les Croupiers A)
Pos 13 | Time: 00:40:38 | LLISWERRY RUNNERS (Lliswerry Runners A)
Pos 14 | Time: 00:40:59 | SPIRIT OF (Spirit of Monmouth A)
Pos 15 | Time: 00:41:48 | OGMORE PHOENIX (Ogmore Phoenix B)
Pos 16 | Time: 00:41:58 | PARC BRYN BACH RUNNING Lianne Lusty (Islwyn A)
Pos 17 | Time: 00:42:40 | PEGASUS RUNNING Aislin Fields (San Domenico A)
Pos 18 | Time: 00:42:49 | PONTYPRIDD ROADENTS (Pontypridd Roadents A)
Pos 19 | Time: 00:43:07 | PONT-Y-PWL & (Pont-y-pwl & District A)
Pos 20 | Time: 00:43:29 | RHONDDA VALLEY (Rhondda Valley A)
Pos 21 | Time: 00:43:58 | SAN DOMENICO (San Domenico B)
Pos 22 | Time: 00:44:15 | Jules Esmond (Ogmore B)
Pos 23 | Time: 00:44:26 | NOTE Kirsty Smith (Rhondda A)
Pos 24 | Time: 00:44:49 | RUNNERS FINISHING     .* Vanessa Pritchard (Caerleon B)
Pos 25 | Time: 00:46:00 | R UN (Islwyn A)
Pos 26 | Time: 00:46:01 | RUNNERS FAILING TO FINISH   MINUTES.*** Alison Davis (Fairwater B)
Pos 27 | Time: 00:46:02 | INFRINGEMENT OF RULES RESULTS IN   MINUTES.**** Phil Groves (Pegasus A)
Pos 28 | Time: 00:46:03 | Samantha Walker (Griffithstown B)
Total Runners Extracted for Leg 1: 28

--- LEG 2 ---
Pos 01 | Time: 00:45:49 | Benjamin Russell (Aberdare A)
Pos 02 | Time: 00:46:27 | Gareth Richards Ogmore (Aberdare A)
Pos 03 | Time: 00:47:10 | Tony Marshall Chepstow A (Griffithstown A)
Pos 04 | Time: 00:48:18 | Shaun Styles (Griffithstown A)
Pos 05 | Time: 00:48:48 | Antoinette Dumayne (Lliswerry A)
Pos 06 | Time: 00:48:55 | Lloyd Hughes Caerleon A (Lliswerry A)
Pos 07 | Time: 00:50:18 | Andrew Howells (Islwyn A)
Pos 08 | Time: 00:51:50 | Jamie Goddard Chepstow B (Caerphilly B)
Pos 09 | Time: 00:51:54 | Tom Longley (Caerphilly A)
Pos 10 | Time: 00:52:21 | John Lloyd (Brackla A)
Pos 11 | Time: 00:52:53 | Lisa Ericson Pont-y-pwl (Caerphilly A)
Pos 12 | Time: 00:53:15 | Suzanne Tew Parc Bryn Bach A (Islwyn A)
Pos 13 | Time: 00:54:01 | Neema Mal (Les Croupiers A)
Pos 14 | Time: 00:55:03 | Luc Shide Islwyn B (Monmouth B)
Pos 15 | Time: 00:55:18 | Alex Wilson Monmouth A (Les Croupiers A)
Pos 16 | Time: 00:55:26 | Alex Gater (Caerphilly B)
